"Year","Population","GrowthRate","Growth"
"2035","1649409","0.0210","33966"
"2034","1615443","0.0214","33791"
"2033","1581652","0.0217","33568"
"2032","1548084","0.0220","33283"
"2031","1514801","0.0223","32993"
"2030","1481808","0.0226","32693"
"2029","1449115","0.0229","32407"
"2028","1416708","0.0232","32134"
"2027","1384574","0.0236","31916"
"2026","1352658","0.0240","31750"
"2025","1320908","0.0246","31654"
"2024","1289254","0.0251","31612"
"2023","1257642","0.0258","31609"
"2022","1226033","0.0265","31602"
"2021","1194431","0.0271","31545"
"2020","1162886","0.0278","31402"
"2019","1131484","0.0282","31082"
"2018","1100402","0.0301","32144"
"2017","1068258","0.0301","31205"
"2016","1037053","0.0301","30293"
"2015","1006760","0.0301","29409"
"2014","977351","0.0301","28549"
"2013","948802","0.0301","27716"
"2012","921086","0.0301","26906"
"2011","894180","0.0301","26120"
"2010","868060","0.0301","25357"
"2009","842703","0.0300","24582"
"2008","818121","0.0301","23931"
"2007","794190","0.0301","23198"
"2006","770992","0.0301","22522"
"2005","748470","0.0300","21833"
"2004","726637","0.0301","21255"
"2003","705382","0.0301","20604"
"2002","684778","0.0301","20003"
"2001","664775","0.0420","26775"
"2000","638000","0.0482","29309"
"1999","608691","0.0481","27925"
"1998","580766","0.0481","26644"
"1997","554122","0.0480","25387"
"1996","528735","0.0482","24290"
"1995","504445","0.0481","23142"
"1994","481303","0.0481","22081"
"1993","459222","0.0480","21039"
"1992","438183","0.0482","20130"
"1991","418053","0.0593","23412"
"1990","394641","0.0650","24091"
"1989","370550","0.0649","22590"
"1988","347960","0.0651","21269"
"1987","326691","0.0650","19943"
"1986","306748","0.0650","18725"
"1985","288023","0.0649","17559"
"1984","270464","0.0651","16533"
"1983","253931","0.0650","15501"
"1982","238430","0.0650","14555"
"1981","223875","0.0726","15148"
"1980","208727","0.0767","14863"
"1979","193864","0.0766","13786"
"1978","180078","0.0766","12806"
"1977","167272","0.0764","11879"
"1976","155393","0.0767","11065"
"1975","144328","0.0766","10264"
"1974","134064","0.0766","9533"
"1973","124531","0.0764","8844"
"1972","115687","0.0767","8238"
"1971","107449","0.0985","9638"
"1970","97811","0.1059","9370"
"1969","88441","0.1058","8460"
"1968","79981","0.1061","7672"
"1967","72309","0.1059","6927"
"1966","65382","0.1059","6263"
"1965","59119","0.1058","5655"
"1964","53464","0.1061","5128"
"1963","48336","0.1059","4630"
"1962","43706","0.1059","4187"
"1961","39519","0.0935","3380"
"1960","36139","0.0876","2912"
"1959","33227","0.0875","2674"
"1958","30553","0.0875","2459"
"1957","28094","0.0874","2258"
"1956","25836","0.0876","2082"
"1955","23754","0.0875","1912"
"1954","21842","0.0875","1758"
"1953","20084","0.0874","1614"
"1952","18470","0.0876","1488"
"1951","16982","0.0875","1367"
"1950","15615","0","0"
